objectid,sector,time,location,source,cars,trucks,motorcycle,bicycle,publictransport,pedestrian,other,placename,photo,video,photo_link,video_link,day_night,raion,comuna,localitate,year,month,hour,weekday,day_part,location_trasee,street,tipul,cauza,decedati,traumati
1450,Rîşcani,1/16/2018 13:00,Strada Doina - Strada Vasile Badiu,INP Info Trafic,1,0,0,0,1,0,0,Chişinău,https://i.imgur.com/V7Y7yWf.jpg,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2018,1,13,1,ziua,,Strada Doina,,,0,0
1451,Rîşcani,12/4/2017 6:45,Strada Andrei Botezatu în apropiere de Strada Petru Rareş,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,12,6,0,dimineata,,Strada Alexandru Botezatu,,,0,0
1452,Rîşcani,7/5/2018 12:00,Intersectia str. Albisoara - str. Petru Rares, ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,7,0,0,,,,Tamponarea pietonilor angajati in traversarea neregulamentara a drumului,Viteza neadecvata vizibilitatii conditiilor situatiei rutiere,0,1
1453,Rîşcani,10/13/2019 10:55,strada Albisoara,protv.md,2,0,0,0,0,0,0,Chisinau, , ,,,0,,,,0,,0,0,,,,3.1,,0,0
1454,Alte,12/18/2017 4:45,"Traseul R34 în apropiere de Satul Sărata-Galbenă, Hânceşti",tv8.md,1,1,0,0,0,0,0,Sărata-Galbenă,http://tv8.md/wp-content/uploads/2017/12/images_cms-image-000016975.jpg,Lipseşte,https://dhttp://tv8.md/2017/12/18/accident-cu-doi-decedati-si-mai-multi-raniti-la-sarata-galbena-un-microbuz-s-a-ciocnit-violent-cu-un-autocamion/eschide.md/ro/stiri/social/23238/Accident-grav-%C3%AEn-raionul-H%C3%A2nce%C8%99ti-Dou%C4%83-persoane-au-decedat-iar-altele-patru-sunt-la-spital.htm,,1,Hâncești,Sărata-Galbenă,,2017,12,4,0,zori,Hînceşti - Leova - Cahul - Giurgiulești,,,,0,0
1455,Rîşcani,6/12/2019 9:21, , ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,12,0,0,,,,,,0,0
1456, ,12/25/2018 12:00, , ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,4,0,0,,,,,,0,0
1457,Rîşcani,6/6/2019 14:21, , ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,11,0,0,,,,,,0,0
1458,Buiucani,11/27/2017 7:00,"Şoseaua Balcani, în apropiere de Strada Calea Ieşilor",waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,11,7,0,dimineata,Frontiera cu România - Leuşeni - Chişinău - Dubăsari - frontiera cu Ucraina,Șoseaua Balcani,,,0,0
1459,Buiucani,11/27/2017 6:00,Şoseaua Balcani - Strada Pietrăriei,INP Info Trafic,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,11,6,0,dimineata,Frontiera cu România - Leuşeni - Chişinău - Dubăsari - frontiera cu Ucraina,Șoseaua Balcani,,,0,0
1460,Rîşcani,11/23/2017 6:30,Streada Petricani în apropiere de Sensul Giratoriu Strda Calea Orheiului,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,11,6,3,dimineata,,Strada Petricani,,,0,0
1461,Rîşcani,12/6/2017 7:00,Bulevardul Grigore Vieru în apropiere de strada Ierusalim,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,12,7,2,dimineata,,Bulevardul Grigore Vieru,,,0,0
1462,Rîşcani,2/23/2018 6:45,Streada Petricani în apropiere de Sensul Giratoriu Strda Calea Orheiului,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2018,2,6,4,dimineata,,Strada Petricani,,,0,0
1463,Rîşcani,2/20/2018 22:50,str. Grigore Vieru 11, ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Bulevardul Grigore Vieru,Tamponare in obstacol din afara carosabilului ,Stare de ebrietate alcoolica,0,2
